Month,Region,Total Capacity (MW)
12/31/20,North,100145
12/31/20,West,123411
12/31/20,South,113460
12/31/20,East,33594
12/31/20,North East,4637
12/31/20,ISLANDS,75
11/30/20,North,99959
11/30/20,West,122961
11/30/20,South,112976
11/30/20,East,33590
11/30/20,North East,4637
11/30/20,ISLANDS,75
10/31/20,North,99894
10/31/20,West,122591
10/31/20,South,112650
10/31/20,East,33588
10/31/20,North East,4637
10/31/20,ISLANDS,75
09/30/20,North,99858
09/30/20,West,122268
09/30/20,South,112614
09/30/20,East,33576
09/30/20,North East,4637
09/30/20,ISLANDS,75
08/31/20,North,99813
08/31/20,West,122096
08/31/20,South,112509
08/31/20,East,33565
08/31/20,North East,4636
08/31/20,ISLANDS,75
07/31/20,North,99655
07/31/20,West,121956
07/31/20,South,112214
07/31/20,East,33531
07/31/20,North East,4562
07/31/20,ISLANDS,58
06/30/20,North,99556
06/30/20,West,120976
06/30/20,South,112376
06/30/20,East,33527
06/30/20,North East,4560
06/30/20,ISLANDS,58
05/31/20,North,99440
05/31/20,West,120824
05/31/20,South,112093
05/31/20,East,33523
05/31/20,North East,4560
05/31/20,ISLANDS,58
04/30/20,North,99377
04/30/20,West,120787
04/30/20,South,112078
04/30/20,East,33523
04/30/20,North East,4523
04/30/20,ISLANDS,58
03/31/20,North,99479
03/31/20,West,120526
03/31/20,South,111941
03/31/20,East,33521
03/31/20,North East,4523
03/31/20,ISLANDS,58
02/29/20,North,98810
02/29/20,West,119610
02/29/20,South,112338
02/29/20,East,33651
02/29/20,North East,4523
02/29/20,ISLANDS,58
01/31/20,North,98485
01/31/20,West,119382
01/31/20,South,112335
01/31/20,East,33644
01/31/20,North East,4372
01/31/20,ISLANDS,58
12/31/19,North,97437
12/31/19,West,121186
12/31/19,South,111445
12/31/19,East,34266
12/31/19,North East,4397
12/31/19,ISLANDS,58
11/30/19,North,95884
11/30/19,West,120099
11/30/19,South,108499
11/30/19,East,36047
11/30/19,North East,4372
11/30/19,ISLANDS,58
10/31/19,North,95331
10/31/19,West,119936
10/31/19,South,108437
10/31/19,East,36036
10/31/19,North East,4372
10/31/19,ISLANDS,58
09/30/19,North,94581
09/30/19,West,118932
09/30/19,South,108201
09/30/19,East,35990
09/30/19,North East,4357
09/30/19,ISLANDS,58
08/31/19,North,93835
08/31/19,West,118741
08/31/19,South,107807
08/31/19,East,35990
08/31/19,North East,4357
08/31/19,ISLANDS,58
07/31/19,North,93835
07/31/19,West,118941
07/31/19,South,107935
07/31/19,East,35330
07/31/19,North East,4357
07/31/19,ISLANDS,58
06/30/19,North,93686
06/30/19,West,118167
06/30/19,South,107696
06/30/19,East,33927
06/30/19,North East,4342
06/30/19,ISLANDS,58
05/31/19,North,93461
05/31/19,West,117805
05/31/19,South,107252
05/31/19,East,33909
05/31/19,North East,4333
05/31/19,ISLANDS,58
04/30/19,North,93248
04/30/19,West,117622
04/30/19,South,106932
04/30/19,East,33907
04/30/19,North East,4333
04/30/19,ISLANDS,58
03/31/19,North,93248
03/31/19,West,117622
03/31/19,South,106932
03/31/19,East,33907
03/31/19,North East,4333
03/31/19,ISLANDS,58
02/28/19,North,92414
02/28/19,West,114375
02/28/19,South,105634
02/28/19,East,33632
02/28/19,North East,4054
02/28/19,ISLANDS,53
01/31/19,North,92383
01/31/19,West,114096
01/31/19,South,105102
01/31/19,East,33604
01/31/19,North East,4051
01/31/19,ISLANDS,53
12/31/18,North,92383
12/31/18,West,114096
12/31/18,South,105102
12/31/18,East,33604
12/31/18,North East,4051
12/31/18,ISLANDS,53
11/30/18,North,92023
11/30/18,West,113087
11/30/18,South,104083
11/30/18,East,33327
11/30/18,North East,4046
11/30/18,ISLANDS,53
10/31/18,North,92023
10/31/18,West,112427
10/31/18,South,104146
10/31/18,East,33327
10/31/18,North East,4071
10/31/18,ISLANDS,53
09/30/18,North,92107
09/30/18,West,111528
09/30/18,South,103711
09/30/18,East,33320
09/30/18,North East,4001
09/30/18,ISLANDS,53
08/31/18,North,92107
08/31/18,West,111528
08/31/18,South,103681
08/31/18,East,33320
08/31/18,North East,4001
08/31/18,ISLANDS,53
07/31/18,North,92913
07/31/18,West,111528
07/31/18,South,103681
07/31/18,East,33320
07/31/18,North East,4001
07/31/18,ISLANDS,53
06/30/18,North,92773
06/30/18,West,111249
06/30/18,South,102515
06/30/18,East,33282
06/30/18,North East,4027
06/30/18,ISLANDS,53
